Filename,Output,Delay
cleaned_transformed_ds5.csv,out8_8sec_shift,6
cleaned_transformed_ds5.csv,out8_8sec_shift_noise,6
cleaned_transformed_ds5.csv,out8_8sec_shift_filt,4
cleaned_transformed_ds5.csv,out8_8sec_shift_noise_filt,4
cleaned_transformed_ds5.csv,out8_10sec_shift,6
cleaned_transformed_ds5.csv,out8_10sec_shift_noise,6
cleaned_transformed_ds5.csv,out8_10sec_shift_filt,6
cleaned_transformed_ds5.csv,out8_10sec_shift_noise_filt,6
cleaned_transformed_ds6.csv,out1_0sec,1
cleaned_transformed_ds6.csv,out2_0sec,2
cleaned_transformed_ds6.csv,out3_0sec,1
cleaned_transformed_ds6.csv,out4_0sec,3
cleaned_transformed_ds6.csv,out5_0sec,1
cleaned_transformed_ds6.csv,out6_0sec,0
cleaned_transformed_ds6.csv,out7_0sec,0
cleaned_transformed_ds6.csv,out1_2sec_shift,3
cleaned_transformed_ds6.csv,out1_2sec_shift_noise,3
cleaned_transformed_ds6.csv,out1_2sec_shift_filt,1
cleaned_transformed_ds6.csv,out1_2sec_shift_noise_filt,1
cleaned_transformed_ds6.csv,out1_4sec_shift,1
cleaned_transformed_ds6.csv,out1_4sec_shift_noise,1
cleaned_transformed_ds6.csv,out1_4sec_shift_filt,3
cleaned_transformed_ds6.csv,out1_4sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out1_6sec_shift,1
cleaned_transformed_ds6.csv,out1_6sec_shift_noise,1
cleaned_transformed_ds6.csv,out1_6sec_shift_filt,1
cleaned_transformed_ds6.csv,out1_6sec_shift_noise_filt,1
cleaned_transformed_ds6.csv,out1_8sec_shift,1
cleaned_transformed_ds6.csv,out1_8sec_shift_noise,1
cleaned_transformed_ds6.csv,out1_8sec_shift_filt,1
cleaned_transformed_ds6.csv,out1_8sec_shift_noise_filt,1
cleaned_transformed_ds6.csv,out1_10sec_shift,4
cleaned_transformed_ds6.csv,out1_10sec_shift_noise,4
cleaned_transformed_ds6.csv,out1_10sec_shift_filt,3
cleaned_transformed_ds6.csv,out1_10sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out2_2sec_shift,2
cleaned_transformed_ds6.csv,out2_2sec_shift_noise,3
cleaned_transformed_ds6.csv,out2_2sec_shift_filt,2
cleaned_transformed_ds6.csv,out2_2sec_shift_noise_filt,2
cleaned_transformed_ds6.csv,out2_4sec_shift,3
cleaned_transformed_ds6.csv,out2_4sec_shift_noise,2
cleaned_transformed_ds6.csv,out2_4sec_shift_filt,1
cleaned_transformed_ds6.csv,out2_4sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out2_6sec_shift,2
cleaned_transformed_ds6.csv,out2_6sec_shift_noise,4
cleaned_transformed_ds6.csv,out2_6sec_shift_filt,2
cleaned_transformed_ds6.csv,out2_6sec_shift_noise_filt,1
cleaned_transformed_ds6.csv,out2_8sec_shift,2
cleaned_transformed_ds6.csv,out2_8sec_shift_noise,4
cleaned_transformed_ds6.csv,out2_8sec_shift_filt,1
cleaned_transformed_ds6.csv,out2_8sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out2_10sec_shift,2
cleaned_transformed_ds6.csv,out2_10sec_shift_noise,4
cleaned_transformed_ds6.csv,out2_10sec_shift_filt,1
cleaned_transformed_ds6.csv,out2_10sec_shift_noise_filt,0
cleaned_transformed_ds6.csv,out3_2sec_shift,1
cleaned_transformed_ds6.csv,out3_2sec_shift_noise,1
cleaned_transformed_ds6.csv,out3_2sec_shift_filt,4
cleaned_transformed_ds6.csv,out3_2sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out3_4sec_shift,1
cleaned_transformed_ds6.csv,out3_4sec_shift_noise,1
cleaned_transformed_ds6.csv,out3_4sec_shift_filt,4
cleaned_transformed_ds6.csv,out3_4sec_shift_noise_filt,1
cleaned_transformed_ds6.csv,out3_6sec_shift,3
cleaned_transformed_ds6.csv,out3_6sec_shift_noise,3
cleaned_transformed_ds6.csv,out3_6sec_shift_filt,3
cleaned_transformed_ds6.csv,out3_6sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out3_8sec_shift,3
cleaned_transformed_ds6.csv,out3_8sec_shift_noise,3
cleaned_transformed_ds6.csv,out3_8sec_shift_filt,3
cleaned_transformed_ds6.csv,out3_8sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out3_10sec_shift,3
cleaned_transformed_ds6.csv,out3_10sec_shift_noise,1
cleaned_transformed_ds6.csv,out3_10sec_shift_filt,1
cleaned_transformed_ds6.csv,out3_10sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out4_2sec_shift,1
cleaned_transformed_ds6.csv,out4_2sec_shift_noise,1
cleaned_transformed_ds6.csv,out4_2sec_shift_filt,3
cleaned_transformed_ds6.csv,out4_2sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out4_4sec_shift,3
cleaned_transformed_ds6.csv,out4_4sec_shift_noise,3
cleaned_transformed_ds6.csv,out4_4sec_shift_filt,3
cleaned_transformed_ds6.csv,out4_4sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out4_6sec_shift,1
cleaned_transformed_ds6.csv,out4_6sec_shift_noise,1
cleaned_transformed_ds6.csv,out4_6sec_shift_filt,4
cleaned_transformed_ds6.csv,out4_6sec_shift_noise_filt,4
cleaned_transformed_ds6.csv,out4_8sec_shift,1
cleaned_transformed_ds6.csv,out4_8sec_shift_noise,1
cleaned_transformed_ds6.csv,out4_8sec_shift_filt,4
cleaned_transformed_ds6.csv,out4_8sec_shift_noise_filt,4
cleaned_transformed_ds6.csv,out4_10sec_shift,1
cleaned_transformed_ds6.csv,out4_10sec_shift_noise,1
cleaned_transformed_ds6.csv,out4_10sec_shift_filt,3
cleaned_transformed_ds6.csv,out4_10sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out5_2sec_shift,2
cleaned_transformed_ds6.csv,out5_2sec_shift_noise,2
cleaned_transformed_ds6.csv,out5_2sec_shift_filt,3
cleaned_transformed_ds6.csv,out5_2sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out5_4sec_shift,2
cleaned_transformed_ds6.csv,out5_4sec_shift_noise,2
cleaned_transformed_ds6.csv,out5_4sec_shift_filt,4
cleaned_transformed_ds6.csv,out5_4sec_shift_noise_filt,4
cleaned_transformed_ds6.csv,out5_6sec_shift,2
cleaned_transformed_ds6.csv,out5_6sec_shift_noise,2
cleaned_transformed_ds6.csv,out5_6sec_shift_filt,3
cleaned_transformed_ds6.csv,out5_6sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out5_8sec_shift,2
cleaned_transformed_ds6.csv,out5_8sec_shift_noise,2
cleaned_transformed_ds6.csv,out5_8sec_shift_filt,4
cleaned_transformed_ds6.csv,out5_8sec_shift_noise_filt,4
cleaned_transformed_ds6.csv,out5_10sec_shift,4
cleaned_transformed_ds6.csv,out5_10sec_shift_noise,4
cleaned_transformed_ds6.csv,out5_10sec_shift_filt,4
cleaned_transformed_ds6.csv,out5_10sec_shift_noise_filt,4
cleaned_transformed_ds6.csv,out6_2sec_shift,0
cleaned_transformed_ds6.csv,out6_2sec_shift_noise,0
cleaned_transformed_ds6.csv,out6_2sec_shift_filt,3
cleaned_transformed_ds6.csv,out6_2sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out6_4sec_shift,0
cleaned_transformed_ds6.csv,out6_4sec_shift_noise,0
cleaned_transformed_ds6.csv,out6_4sec_shift_filt,0
cleaned_transformed_ds6.csv,out6_4sec_shift_noise_filt,0
cleaned_transformed_ds6.csv,out6_6sec_shift,3
cleaned_transformed_ds6.csv,out6_6sec_shift_noise,3
cleaned_transformed_ds6.csv,out6_6sec_shift_filt,3
cleaned_transformed_ds6.csv,out6_6sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out6_8sec_shift,3
cleaned_transformed_ds6.csv,out6_8sec_shift_noise,3
cleaned_transformed_ds6.csv,out6_8sec_shift_filt,3
cleaned_transformed_ds6.csv,out6_8sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out6_10sec_shift,3
cleaned_transformed_ds6.csv,out6_10sec_shift_noise,3
cleaned_transformed_ds6.csv,out6_10sec_shift_filt,0
cleaned_transformed_ds6.csv,out6_10sec_shift_noise_filt,0
cleaned_transformed_ds6.csv,out7_2sec_shift,0
cleaned_transformed_ds6.csv,out7_2sec_shift_noise,0
cleaned_transformed_ds6.csv,out7_2sec_shift_filt,3
cleaned_transformed_ds6.csv,out7_2sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out7_4sec_shift,0
cleaned_transformed_ds6.csv,out7_4sec_shift_noise,0
cleaned_transformed_ds6.csv,out7_4sec_shift_filt,0
cleaned_transformed_ds6.csv,out7_4sec_shift_noise_filt,0
cleaned_transformed_ds6.csv,out7_6sec_shift,3
cleaned_transformed_ds6.csv,out7_6sec_shift_noise,3
cleaned_transformed_ds6.csv,out7_6sec_shift_filt,3
cleaned_transformed_ds6.csv,out7_6sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out7_8sec_shift,3
cleaned_transformed_ds6.csv,out7_8sec_shift_noise,3
cleaned_transformed_ds6.csv,out7_8sec_shift_filt,3
cleaned_transformed_ds6.csv,out7_8sec_shift_noise_filt,3
cleaned_transformed_ds6.csv,out7_10sec_shift,3
cleaned_transformed_ds6.csv,out7_10sec_shift_noise,3
cleaned_transformed_ds6.csv,out7_10sec_shift_filt,3
cleaned_transformed_ds6.csv,out7_10sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out1_0sec,1
cleaned_transformed_ds7.csv,out2_0sec,3
cleaned_transformed_ds7.csv,out3_0sec,2
cleaned_transformed_ds7.csv,out4_0sec,4
cleaned_transformed_ds7.csv,out5_0sec,0
cleaned_transformed_ds7.csv,out6_0sec,3
cleaned_transformed_ds7.csv,out7_0sec,3
cleaned_transformed_ds7.csv,out8_0sec,3
cleaned_transformed_ds7.csv,out1_2sec_shift,0
cleaned_transformed_ds7.csv,out1_2sec_shift_noise,0
cleaned_transformed_ds7.csv,out1_2sec_shift_filt,0
cleaned_transformed_ds7.csv,out1_2sec_shift_noise_filt,0
cleaned_transformed_ds7.csv,out1_4sec_shift,5
cleaned_transformed_ds7.csv,out1_4sec_shift_noise,5
cleaned_transformed_ds7.csv,out1_4sec_shift_filt,2
cleaned_transformed_ds7.csv,out1_4sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out1_6sec_shift,3
cleaned_transformed_ds7.csv,out1_6sec_shift_noise,3
cleaned_transformed_ds7.csv,out1_6sec_shift_filt,3
cleaned_transformed_ds7.csv,out1_6sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out1_8sec_shift,3
cleaned_transformed_ds7.csv,out1_8sec_shift_noise,3
cleaned_transformed_ds7.csv,out1_8sec_shift_filt,2
cleaned_transformed_ds7.csv,out1_8sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out1_10sec_shift,3
cleaned_transformed_ds7.csv,out1_10sec_shift_noise,3
cleaned_transformed_ds7.csv,out1_10sec_shift_filt,0
cleaned_transformed_ds7.csv,out1_10sec_shift_noise_filt,0
cleaned_transformed_ds7.csv,out2_2sec_shift,3
cleaned_transformed_ds7.csv,out2_2sec_shift_noise,2
cleaned_transformed_ds7.csv,out2_2sec_shift_filt,0
cleaned_transformed_ds7.csv,out2_2sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out2_4sec_shift,4
cleaned_transformed_ds7.csv,out2_4sec_shift_noise,3
cleaned_transformed_ds7.csv,out2_4sec_shift_filt,3
cleaned_transformed_ds7.csv,out2_4sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out2_6sec_shift,3
cleaned_transformed_ds7.csv,out2_6sec_shift_noise,2
cleaned_transformed_ds7.csv,out2_6sec_shift_filt,3
cleaned_transformed_ds7.csv,out2_6sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out2_8sec_shift,0
cleaned_transformed_ds7.csv,out2_8sec_shift_noise,1
cleaned_transformed_ds7.csv,out2_8sec_shift_filt,3
cleaned_transformed_ds7.csv,out2_8sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out2_10sec_shift,2
cleaned_transformed_ds7.csv,out2_10sec_shift_noise,2
cleaned_transformed_ds7.csv,out2_10sec_shift_filt,4
cleaned_transformed_ds7.csv,out2_10sec_shift_noise_filt,4
cleaned_transformed_ds7.csv,out3_2sec_shift,2
cleaned_transformed_ds7.csv,out3_2sec_shift_noise,2
cleaned_transformed_ds7.csv,out3_2sec_shift_filt,2
cleaned_transformed_ds7.csv,out3_2sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out3_4sec_shift,3
cleaned_transformed_ds7.csv,out3_4sec_shift_noise,3
cleaned_transformed_ds7.csv,out3_4sec_shift_filt,2
cleaned_transformed_ds7.csv,out3_4sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out3_6sec_shift,2
cleaned_transformed_ds7.csv,out3_6sec_shift_noise,2
cleaned_transformed_ds7.csv,out3_6sec_shift_filt,3
cleaned_transformed_ds7.csv,out3_6sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out3_8sec_shift,2
cleaned_transformed_ds7.csv,out3_8sec_shift_noise,2
cleaned_transformed_ds7.csv,out3_8sec_shift_filt,2
cleaned_transformed_ds7.csv,out3_8sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out3_10sec_shift,1
cleaned_transformed_ds7.csv,out3_10sec_shift_noise,1
cleaned_transformed_ds7.csv,out3_10sec_shift_filt,1
cleaned_transformed_ds7.csv,out3_10sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out4_2sec_shift,4
cleaned_transformed_ds7.csv,out4_2sec_shift_noise,4
cleaned_transformed_ds7.csv,out4_2sec_shift_filt,4
cleaned_transformed_ds7.csv,out4_2sec_shift_noise_filt,4
cleaned_transformed_ds7.csv,out4_4sec_shift,3
cleaned_transformed_ds7.csv,out4_4sec_shift_noise,3
cleaned_transformed_ds7.csv,out4_4sec_shift_filt,1
cleaned_transformed_ds7.csv,out4_4sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out4_6sec_shift,3
cleaned_transformed_ds7.csv,out4_6sec_shift_noise,3
cleaned_transformed_ds7.csv,out4_6sec_shift_filt,0
cleaned_transformed_ds7.csv,out4_6sec_shift_noise_filt,0
cleaned_transformed_ds7.csv,out4_8sec_shift,4
cleaned_transformed_ds7.csv,out4_8sec_shift_noise,4
cleaned_transformed_ds7.csv,out4_8sec_shift_filt,3
cleaned_transformed_ds7.csv,out4_8sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out4_10sec_shift,5
cleaned_transformed_ds7.csv,out4_10sec_shift_noise,5
cleaned_transformed_ds7.csv,out4_10sec_shift_filt,5
cleaned_transformed_ds7.csv,out4_10sec_shift_noise_filt,5
cleaned_transformed_ds7.csv,out5_2sec_shift,1
cleaned_transformed_ds7.csv,out5_2sec_shift_noise,1
cleaned_transformed_ds7.csv,out5_2sec_shift_filt,1
cleaned_transformed_ds7.csv,out5_2sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out5_4sec_shift,3
cleaned_transformed_ds7.csv,out5_4sec_shift_noise,3
cleaned_transformed_ds7.csv,out5_4sec_shift_filt,4
cleaned_transformed_ds7.csv,out5_4sec_shift_noise_filt,4
cleaned_transformed_ds7.csv,out5_6sec_shift,3
cleaned_transformed_ds7.csv,out5_6sec_shift_noise,3
cleaned_transformed_ds7.csv,out5_6sec_shift_filt,1
cleaned_transformed_ds7.csv,out5_6sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out5_8sec_shift,1
cleaned_transformed_ds7.csv,out5_8sec_shift_noise,1
cleaned_transformed_ds7.csv,out5_8sec_shift_filt,3
cleaned_transformed_ds7.csv,out5_8sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out5_10sec_shift,1
cleaned_transformed_ds7.csv,out5_10sec_shift_noise,1
cleaned_transformed_ds7.csv,out5_10sec_shift_filt,1
cleaned_transformed_ds7.csv,out5_10sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out6_2sec_shift,0
cleaned_transformed_ds7.csv,out6_2sec_shift_noise,0
cleaned_transformed_ds7.csv,out6_2sec_shift_filt,2
cleaned_transformed_ds7.csv,out6_2sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out6_4sec_shift,5
cleaned_transformed_ds7.csv,out6_4sec_shift_noise,4
cleaned_transformed_ds7.csv,out6_4sec_shift_filt,0
cleaned_transformed_ds7.csv,out6_4sec_shift_noise_filt,0
cleaned_transformed_ds7.csv,out6_6sec_shift,3
cleaned_transformed_ds7.csv,out6_6sec_shift_noise,4
cleaned_transformed_ds7.csv,out6_6sec_shift_filt,0
cleaned_transformed_ds7.csv,out6_6sec_shift_noise_filt,4
cleaned_transformed_ds7.csv,out6_8sec_shift,5
cleaned_transformed_ds7.csv,out6_8sec_shift_noise,0
cleaned_transformed_ds7.csv,out6_8sec_shift_filt,0
cleaned_transformed_ds7.csv,out6_8sec_shift_noise_filt,5
cleaned_transformed_ds7.csv,out6_10sec_shift,3
cleaned_transformed_ds7.csv,out6_10sec_shift_noise,3
cleaned_transformed_ds7.csv,out6_10sec_shift_filt,3
cleaned_transformed_ds7.csv,out6_10sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out7_2sec_shift,5
cleaned_transformed_ds7.csv,out7_2sec_shift_noise,3
cleaned_transformed_ds7.csv,out7_2sec_shift_filt,0
cleaned_transformed_ds7.csv,out7_2sec_shift_noise_filt,0
cleaned_transformed_ds7.csv,out7_4sec_shift,0
cleaned_transformed_ds7.csv,out7_4sec_shift_noise,4
cleaned_transformed_ds7.csv,out7_4sec_shift_filt,0
cleaned_transformed_ds7.csv,out7_4sec_shift_noise_filt,0
cleaned_transformed_ds7.csv,out7_6sec_shift,3
cleaned_transformed_ds7.csv,out7_6sec_shift_noise,0
cleaned_transformed_ds7.csv,out7_6sec_shift_filt,2
cleaned_transformed_ds7.csv,out7_6sec_shift_noise_filt,2
cleaned_transformed_ds7.csv,out7_8sec_shift,1
cleaned_transformed_ds7.csv,out7_8sec_shift_noise,1
cleaned_transformed_ds7.csv,out7_8sec_shift_filt,5
cleaned_transformed_ds7.csv,out7_8sec_shift_noise_filt,5
cleaned_transformed_ds7.csv,out7_10sec_shift,4
cleaned_transformed_ds7.csv,out7_10sec_shift_noise,4
cleaned_transformed_ds7.csv,out7_10sec_shift_filt,4
cleaned_transformed_ds7.csv,out7_10sec_shift_noise_filt,0
cleaned_transformed_ds7.csv,out8_2sec_shift,5
cleaned_transformed_ds7.csv,out8_2sec_shift_noise,5
cleaned_transformed_ds7.csv,out8_2sec_shift_filt,1
cleaned_transformed_ds7.csv,out8_2sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out8_4sec_shift,5
cleaned_transformed_ds7.csv,out8_4sec_shift_noise,5
cleaned_transformed_ds7.csv,out8_4sec_shift_filt,1
cleaned_transformed_ds7.csv,out8_4sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out8_6sec_shift,5
cleaned_transformed_ds7.csv,out8_6sec_shift_noise,5
cleaned_transformed_ds7.csv,out8_6sec_shift_filt,3
cleaned_transformed_ds7.csv,out8_6sec_shift_noise_filt,3
cleaned_transformed_ds7.csv,out8_8sec_shift,4
cleaned_transformed_ds7.csv,out8_8sec_shift_noise,0
cleaned_transformed_ds7.csv,out8_8sec_shift_filt,1
cleaned_transformed_ds7.csv,out8_8sec_shift_noise_filt,1
cleaned_transformed_ds7.csv,out8_10sec_shift,3
cleaned_transformed_ds7.csv,out8_10sec_shift_noise,3
cleaned_transformed_ds7.csv,out8_10sec_shift_filt,0
cleaned_transformed_ds7.csv,out8_10sec_shift_noise_filt,0
